"","classifier","auc","acc","run"
"1","randomforest",0.669715632402443,0.509605253328997,1
"2","randomforest",0.667331495246855,0.511964691351058,2
"3","randomforest",0.667926010277802,0.503348067067696,3
"4","randomforest",0.679898014412108,0.523629306497385,4
"5","randomforest",0.668918233863211,0.500895260311553,5
"6","randomforest",0.667148304601216,0.512175329185644,6
"7","randomforest",0.67278655328007,0.509099194584265,7
"8","randomforest",0.672281198539654,0.506036570729962,8
"9","randomforest",0.674167237364413,0.509289476325395,9
"10","randomforest",0.676817395628545,0.515199920243424,10
